GFN,FWE,FIA,FWI,USAGE,LANGUAGES
ABeeZee:italic:400,3,4,4,header,latin
ABeeZee:normal:400,3,1,4,header,latin
Abel:normal:400,3,1,3,body,latin
Abhaya Libre:normal:400,2,1,4,?,latin+latin-ext+sinhala
Abhaya Libre:normal:500,3,1,4,?,latin+latin-ext+sinhala
Abhaya Libre:normal:600,3,1,4,?,latin+latin-ext+sinhala
Abhaya Libre:normal:700,3,1,4,?,latin+latin-ext+sinhala
Abhaya Libre:normal:800,4,1,4,?,latin+latin-ext+sinhala
Abril Fatface:normal:400,4,1,4,header,latin+latin-ext
Aclonica:normal:400,4,1,4,body,latin
Acme:normal:400,4,1,3,header,latin
Actor:normal:400,3,1,3,body,latin
Adamina:normal:400,3,1,3,header,latin
Advent Pro:normal:100,1,1,3,header,greek+latin+latin-ext
Advent Pro:normal:200,2,1,3,header,greek+latin+latin-ext
Advent Pro:normal:300,2,1,3,header,greek+latin+latin-ext
Advent Pro:normal:400,2,1,3,header,greek+latin+latin-ext
Advent Pro:normal:500,3,1,3,body,greek+latin+latin-ext
Advent Pro:normal:600,4,1,3,body,greek+latin+latin-ext
Advent Pro:normal:700,4,1,3,header,greek+latin+latin-ext
Aguafina Script:normal:400,3,8,2,header,latin+latin-ext
Akronim:normal:400,2,5,2,header,latin+latin-ext
Aladin:normal:400,4,1,3,header,latin+latin-ext
Aldrich:normal:400,3,1,4,header,latin
Alef:normal:400,3,1,4,header,hebrew+latin
Alef:normal:700,4,1,4,header,hebrew+latin
Alegreya SC:italic:400,3,4,3,header,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Alegreya SC:italic:500,3,4,3,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Alegreya SC:italic:700,4,3,3,header,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Alegreya SC:italic:800,5,4,3,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Alegreya SC:italic:900,6,3,3,header,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Alegreya SC:normal:400,3,1,3,header,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Alegreya SC:normal:500,3,1,3,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Alegreya SC:normal:700,4,1,3,header,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Alegreya SC:normal:800,5,1,3,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Alegreya SC:normal:900,6,1,3,header,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Alegreya Sans SC:italic:100,1,4,3,header,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Alegreya Sans SC:italic:300,2,3,3,header,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Alegreya Sans SC:italic:400,3,3,3,header,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Alegreya Sans SC:italic:500,3,4,3,header,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Alegreya Sans SC:italic:700,4,4,3,header,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Alegreya Sans SC:italic:800,5,3,3,header,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Alegreya Sans SC:italic:900,5,3,3,header,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Alegreya Sans SC:normal:100,1,1,3,header,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Alegreya Sans SC:normal:300,2,1,3,header,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Alegreya Sans SC:normal:400,3,1,3,header,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Alegreya Sans SC:normal:500,3,1,3,header,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Alegreya Sans SC:normal:700,4,1,3,header,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Alegreya Sans SC:normal:800,5,1,3,header,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Alegreya Sans SC:normal:900,6,1,3,header,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Alegreya Sans:italic:100,1,4,3,header,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
